# Heliports carrying a real ICAO code. Source: OpenStreetMap (ODbL), via fetch_osm.py.
# GENERATED by tools/poi/build_poi.py -- do not hand-edit; edit the generator or refetch.
# Unnamed rooftop and hospital pads are deliberately excluded: a pictogram with no usable
# identifier beside it tells the wearer nothing.
# Columns: code,lat,lon,type,flags   (type 0 = airfield, flags 2 = helipad, +1 = military)
code,lat,lon,type,flags
HA49,55.81789,37.38127,0,2
HA4P,54.03225,41.66116,0,2
HA4U,56.23128,37.49460,0,2
HA6S,56.09198,37.63332,0,2
HAA7,55.10781,60.66006,0,3
HAW7,55.37359,61.28816,0,2
HC1L,55.68260,84.99153,0,2
HC1M,55.45022,82.91064,0,2
HC38,55.76696,37.30808,0,2
HC7X,55.03136,61.35895,0,2
HC9V,55.38889,86.13886,0,2
HCL8,56.04146,37.66302,0,2
HCP7,52.64297,59.53934,0,2
HCX0,59.44683,56.83629,0,2
HD1U,46.67308,48.53768,0,2
HD1V,46.67431,48.51407,0,2
HD3J,55.81603,38.12731,0,2
HD3R,55.76454,37.63048,0,2
HD6S,56.16863,40.49849,0,2
HD9N,53.65716,91.57508,0,2
HDB1,55.96118,39.22781,0,2
HDY2,52.92892,88.38995,0,2
HE1F,55.17150,61.40122,0,2
HE2E,62.49734,159.76452,0,2
HE36,55.75451,37.57265,0,2
HE3J,55.75192,37.57976,0,2
HE8P,54.41348,62.69684,0,2
HEE5,54.59673,61.17223,0,2
HEN6,55.79049,84.64467,0,2
HF28,55.63404,60.80644,0,3
HFG1,56.00040,60.80896,0,2
HFG2,54.99603,60.32824,0,2
HFOI,43.02532,1.61761,0,2
HGQ2,48.58129,51.64957,0,2
HGR3,48.52041,51.70693,0,2
HGR4,47.66966,53.34762,0,2
HGR6,46.91654,53.93601,0,2
HGR7,46.98997,54.01379,0,2
HHP0,52.94911,87.96952,0,2
HYYY,22.95100,113.20492,0,2
IL75,41.87459,-87.67332,0,2
K79S,47.84867,-110.62938,0,2
KBOF,38.84513,-77.01446,0,2
KCQJ,38.73853,-104.83518,0,3
KEBY,48.37047,-124.59811,0,2
KFCT,46.66943,-120.45680,0,3
KFHK,31.32028,-85.67390,0,3
KHEY,31.34678,-85.65411,0,3
KJPN,38.87490,-77.05667,0,2
KJRB,40.70124,-74.00859,0,2
KJSD,41.24734,-73.09776,0,2
KLOR,31.35461,-85.75028,0,3
KNBV,30.17502,-85.75260,0,3
KNCY,37.26838,-76.57403,0,3
KSXS,31.36295,-85.84975,0,3
LAFK,41.31105,19.88000,0,2
LBLN,42.61844,23.50102,0,2
LBMD,42.70644,27.76642,0,2
LBML,42.56001,26.77666,0,2
LBSV,43.22698,27.93938,0,2
LBWC,43.18683,27.84939,0,3
LEAG,36.12883,-5.44116,0,2
LEBD,40.48456,-6.57713,0,2
LEBP,39.95791,-0.01163,0,2
LECV,40.69694,-3.76473,0,3
LEEC,37.31184,-6.00428,0,3
LEEX,37.39910,-6.01075,0,2
LEFB,40.32162,-1.05660,0,2
LEFI,41.61694,-4.41268,0,2
LEGM,43.43614,-5.83088,0,2
LEGT,40.29762,-3.71495,0,2
LEHK,41.97399,-7.39898,0,2
LEHY,40.17048,-6.70759,0,2
LEIC,41.22338,-4.50610,0,2
LEIN,42.81345,-7.61942,0,2
LELR,40.52042,-3.88286,0,2
LELS,41.27221,-3.51748,0,2
LEMD,40.50109,-3.58627,0,2
LEOR,42.13212,2.90412,0,2
LEPV,43.67468,-7.59509,0,2
LEQU,41.62837,-4.38451,0,2
LERB,42.48087,-6.27239,0,2
LETA,41.57373,2.25715,0,2
LETM,42.01373,2.32142,0,2
LETO,40.50096,-3.45137,0,2
LEXN,42.38395,-7.30125,0,2
LEXU,41.95115,-7.95731,0,2
LEZO,40.93588,-3.62557,0,2
LFPI,48.83324,2.27306,0,2
LFTL,43.54511,7.01707,0,2
LFTR,43.08270,5.93382,0,2
LFWD,48.72748,1.38464,0,2
LGIR,35.33790,25.17658,0,2
LGKZ,40.29083,21.83938,0,2
LGPZ,38.92635,20.78076,0,2
LHBB,47.45452,18.90729,0,2
LHGU,47.60503,17.65950,0,2
LIBJ,38.63994,16.04620,0,3
LILW,45.13158,7.61079,0,3
LJHL,46.05507,14.52073,0,2
LKHL,49.61032,15.57049,0,2
LKJL,49.39853,15.56794,0,2
LKNO,49.56145,16.06310,0,2
LKPE,49.43535,15.23124,0,2
LKPK,50.03193,14.45705,0,2
LLAA,31.77846,34.65509,0,2
LNMC,43.72583,7.41977,0,2
LOAE,47.84677,16.51348,0,2
LOAF,48.00062,16.25580,0,2
LOAH,48.66925,15.66071,0,2
LOAI,47.81593,16.24714,0,2
LOAK,48.41276,15.61521,0,2
LOAL,48.21447,15.25561,0,2
LOAM,48.17365,16.32279,0,2
LOAO,47.50770,16.51170,0,2
LOAP,47.95266,14.78805,0,2
LOAQ,48.12672,14.88088,0,2
LOAT,47.83526,16.20831,0,2
LOAW,47.84515,16.25160,0,2
LOAX,48.21443,15.62551,0,2
LOAY,48.08608,15.42839,0,2
LOAZ,48.59972,15.16371,0,2
LOBA,48.22139,16.34619,0,2
LOBB,48.26772,16.40596,0,2
LOBC,48.14320,16.95881,0,2
LOBD,48.21889,16.46346,0,2
LOBE,47.85710,16.93889,0,2
LOBF,48.18935,16.41248,0,2
LOBG,48.78535,14.97484,0,2
LOBH,48.19993,16.29131,0,2
LOBI,48.08948,16.29824,0,2
LOBK,48.44646,15.62853,0,2
LOBL,48.23722,16.38363,0,2
LOBM,48.56720,16.58099,0,2
LOBN,47.72683,16.08643,0,2
LOBO,48.56276,16.09157,0,2
LOBR,48.19564,16.39063,0,2
LOBS,48.01117,15.16268,0,2
LOBT,48.32226,16.06505,0,2
LOBU,48.17284,16.34463,0,2
LOBW,48.21064,16.30077,0,2
LODO,47.30526,16.18351,0,2
LOGC,47.47965,14.00988,0,2
LOGE,47.21298,15.63629,0,2
LOGH,47.07991,15.46383,0,2
LOGR,47.27856,16.20523,0,2
LOGS,47.04611,16.08674,0,2
LOGZ,47.08440,15.46896,0,2
LOIC,47.11963,10.24054,0,2
LOID,47.57124,12.14953,0,2
LOIE,47.47301,10.71166,0,2
LOIF,47.23120,9.57873,0,2
LOIG,47.20033,9.78023,0,2
LOII,47.28281,11.51572,0,2
LOIL,47.17624,10.61190,0,2
LOIM,47.56583,12.13546,0,2
LOIN,47.30864,11.05058,0,2
LOIO,46.94657,11.01849,0,2
LOIP,46.98042,10.31591,0,2
LOIQ,47.27481,9.59152,0,2
LOIS,47.29465,11.60005,0,2
LOIU,47.26103,11.38474,0,2
LOIV,47.16130,10.59389,0,2
LOIW,47.58531,12.59262,0,2
LOIX,47.49664,9.74509,0,2
LOIY,47.07382,9.91331,0,2
LOJB,47.15948,9.82126,0,2
LOJC,47.48886,12.36515,0,2
LOJD,47.40632,9.74006,0,2
LOJH,46.91097,11.05352,0,2
LOJI,47.21341,10.70015,0,2
LOJK,47.28492,11.88009,0,2
LOJM,47.17764,11.86710,0,2
LOJN,47.20892,9.65975,0,2
LOJO,47.25503,11.34549,0,2
LOJP,47.21896,10.76881,0,2
LOJS,47.05057,11.23623,0,2
LOJT,47.13351,11.70391,0,2
LOJW,47.18420,10.15718,0,2
LOKJ,46.83497,12.76473,0,2
LOKL,46.79975,12.87682,0,2
LOKO,46.79298,13.48324,0,2
LOLV,48.00294,13.63914,0,2
LOLY,47.96911,14.93941,0,2
LOMM,46.99210,12.54196,0,2
LOMN,46.56905,13.27396,0,2
LOMP,46.81937,13.85701,0,2
LOSH,47.36581,12.59732,0,2
LOSL,47.80583,13.02761,0,2
LOWS,47.79613,12.99763,0,2
LOWZ,47.29225,12.78585,0,2
LOXI,47.33501,11.69755,0,3
LOXS,47.79802,12.97997,0,2
LPAB,39.45607,-8.19982,0,2
LPCC,32.64760,-16.92376,0,2
LPCI,40.21988,-8.41302,0,2
LPDA,41.14657,-8.63271,0,2
LPGO,38.67507,-9.17736,0,2
LPMC,41.52556,-6.96615,0,2
LPMZ,32.86699,-17.16499,0,2
LQMR,46.74094,13.66480,0,2
LRBG,45.68664,25.52816,0,2
LRBK,44.63299,26.19749,0,2
LRCX,45.65723,25.55729,0,2
LRFB,47.34261,22.57499,0,2
LRMA,45.68730,25.52711,0,2
LSHI,46.94830,7.42448,0,2
LSHJ,47.35177,8.57140,0,2
LSVD,46.82012,8.88165,0,2
LSVK,47.00407,8.99169,0,2
LSVO,46.93190,9.86572,0,2
LSVV,46.87845,9.15201,0,2
LSXB,47.06805,9.48095,0,2
LSXG,46.64791,7.87859,0,2
LSXH,47.31402,8.02627,0,2
LSXO,47.40556,9.29033,0,2
LSXS,47.16996,8.71480,0,2
LSYA,46.97876,10.37136,0,2
LSYC,46.83595,9.21517,0,2
LSYI,46.81062,8.96774,0,2
LSZS,46.53044,9.87824,0,2
LYBS,42.28214,18.86563,0,2
LYBV,44.76180,20.47147,0,3
MD36,39.14511,-76.50135,0,2
NZGO,-46.10269,168.93846,0,2
NZJM,-40.33767,175.61925,0,2
NZJU,-39.94422,175.03917,0,2
NZMB,-36.84647,174.78802,0,2
NZON,-46.90064,168.12450,0,2
NZQW,-41.28558,174.78018,0,2
NZWH,-41.30960,174.78040,0,2
OA1Z,34.85301,71.13384,0,2
OZHJN,-33.77100,150.73121,0,2
